N21	8.20541e-08	1.65907e-07	4.74923e-07	1.53111e-06	4.97399e-06	1.55535e-05	4.59567e-05	0.00012732	0.000329563	0.000795583	0.00178926	0.00374613	0.00729739	0.0132197	0.0222623	0.0348378	0.0506443	0.0683736	0.0857088	0.099738	0.107729	0.107993	0.10047	0.086745	0.0695095	0.0516985	0.0356954	0.0228848	0.0136277	0.00754152	0.00388168	0.00186111	0.000833793	0.000351329	0.000141225	5.58523e-05	2.31666e-05	1.13366e-05	7.7234e-06	
POCUMO_Acalles_camelus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUMO_Acalles_echinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	7.49646e-09	3.23176e-08	2.01143e-07	1.26542e-06	7.31569e-06	3.76005e-05	0.000169367	0.000663539	0.00224999	0.00657903	0.0165375	0.035641	0.0657068	0.103423	0.138776	0.158572	0.154198	0.127586	0.0898529	0.0539014	0.0275759	0.0120507	0.00450711	0.00144597	0.000398913	9.48902e-05	1.95174e-05	3.48141e-06	5.4017e-07	7.31262e-08	8.66413e-09	9.01275e-10	8.25891e-11	6.69318e-12	4.82462e-13	3.12711e-14	1.87194e-15	1.12974e-16	1.09774e-17	
N23	7.35158e-08	2.70259e-07	1.38611e-06	7.0227e-06	3.26215e-05	0.000136144	0.000505458	0.00165763	0.00477484	0.012025	0.0263764	0.0502326	0.0828466	0.118079	0.145201	0.153857	0.140361	0.110191	0.0744325	0.0432708	0.0216615	0.00934592	0.00347945	0.00111941	0.000311742	7.52962e-05	1.58069e-05	2.89085e-06	4.61729e-07	6.45795e-08	7.93262e-09	8.58619e-10	8.22287e-11	7.00665e-12	5.35748e-13	3.72855e-14	2.42384e-15	1.57363e-16	1.5261e-17	
N24	2.29524e-08	9.14865e-08	5.13705e-07	2.89508e-06	1.51093e-05	7.10016e-05	0.000295852	0.0010817	0.00344333	0.00948573	0.0225071	0.0458211	0.0797908	0.118541	0.149937	0.161187	0.14708	0.113803	0.0746166	0.0414426	0.0194971	0.00777174	0.00262623	0.000752965	0.000183369	3.79819e-05	6.70216e-06	1.00931e-06	1.29978e-07	1.43446e-08	1.35986e-09	1.1101e-10	7.82448e-12	4.77568e-13	2.53263e-14	1.17257e-15	4.79965e-17	1.87882e-18	1.30199e-19	
N25	1.92904e-10	1.23391e-09	9.92734e-09	7.68373e-08	5.40961e-07	3.39421e-06	1.87816e-05	9.09922e-05	0.000383715	0.00140138	0.00441288	0.0119344	0.0276233	0.0545514	0.0916674	0.130761	0.158025	0.161528	0.139473	0.101641	0.062484	0.0324004	0.014176	0.00523707	0.00163549	0.000432401	9.69645e-05	1.84835e-05	3.00249e-06	4.16788e-07	4.9591e-08	5.07461e-09	4.48316e-10	3.436e-11	2.30111e-12	1.36416e-13	7.35737e-15	3.8946e-16	3.17637e-17	
POCUSC_Ips_acuminatus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N26	3.35196e-13	2.92668e-12	3.72475e-11	4.70755e-10	5.36951e-09	5.35815e-08	4.61967e-07	3.41765e-06	2.15867e-05	0.000115917	0.000527193	0.00202377	0.0065367	0.0177143	0.0401741	0.0760744	0.120046	0.157602	0.171913	0.155661	0.116928	0.0728519	0.0376555	0.0161561	0.00575951	0.00170832	0.000422311	8.71922e-05	1.50711e-05	2.18685e-06	2.67188e-07	2.75818e-08	2.41516e-09	1.80268e-10	1.15505e-11	6.43325e-13	3.20225e-14	1.54706e-15	1.16015e-16	
N27	5.79068e-17	9.57658e-16	2.51244e-14	6.09432e-13	1.26935e-11	2.23614e-10	3.31133e-09	4.10439e-08	4.24295e-07	3.64612e-06	2.59664e-05	0.00015282	0.000741322	0.00295711	0.00967949	0.0259521	0.0569067	0.101929	0.148997	0.177647	0.172714	0.136938	0.0885779	0.0467795	0.0201919	0.00713339	0.00206609	0.000491603	9.63201e-05	1.55825e-05	2.08811e-06	2.32653e-07	2.16551e-08	1.69474e-09	1.12615e-10	6.46564e-12	3.33112e-13	1.72127e-14	1.50361e-15	
