N61	0.000158691	0.0414579	0.60514	0.352405	0.000838838	2.49968e-07	1.73757e-11	4.47451e-16	5.4388e-21	3.6082e-26	1.43379e-31	3.63133e-37	7.58576e-43	
POSCDY_Cyclocephala_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	
N62	1.75313e-05	0.00911193	0.356592	0.624651	0.00960533	2.19187e-05	1.38757e-09	2.55756e-14	2.0224e-19	8.25792e-25	1.94182e-30	2.82237e-36	3.11577e-42	
N63	1.02825e-05	0.00405178	0.256899	0.736381	0.00265711	1.21472e-06	1.45996e-10	6.72798e-15	1.4801e-19	1.78512e-24	1.29572e-29	6.04728e-35	2.36025e-40	
POSCDY_Phyllognathus_dionysius	0	0	0	1	0	0	0	0	0	0	0	0	0	
POSCDY_Oryctes_nasicornis	0	0	0	1	0	0	0	0	0	0	0	0	0	
N64	5.93183e-10	1.23743e-06	0.000628966	0.0336346	0.360289	0.60524	0.000206398	1.37901e-08	3.3427e-13	3.8409e-18	2.43599e-23	9.4095e-29	2.85916e-34	
POSCDY_Dynastes_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	
POSCDY_Pentodon_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	
N65	0.003365	0.320324	0.672583	0.00372635	7.62474e-07	3.80674e-11	7.33701e-16	6.85307e-21	3.55106e-26	1.11402e-31	2.24522e-37	3.0308e-43	3.31051e-49	
N66	0.00465233	0.991883	0.00346393	4.72293e-07	1.5107e-11	1.80572e-16	1.00362e-21	2.93778e-27	4.87296e-33	4.77456e-39	2.81143e-45	9.82436e-52	2.2363e-58	
POSCRU_Phyllopertha_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	
N67	0.000778791	0.999161	5.99938e-05	3.44459e-10	5.21711e-16	3.18632e-22	8.42558e-29	9.75312e-36	4.82233e-43	8.43027e-51	6.46664e-43	1.08542e-44	1.48017e-46	
POSCRU_Mimela_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	
POSCRU_Popillia_japonica	0	1	0	0	0	0	0	0	0	0	0	0	0	
N68	0.00221513	0.239759	0.753149	0.00487399	2.84959e-06	3.15821e-10	1.16787e-14	1.91854e-19	1.65175e-24	8.26706e-30	2.57721e-35	5.24913e-41	8.69041e-47	
N69	0.000328011	0.0730532	0.872456	0.0537043	0.000458194	9.08451e-08	5.19013e-12	1.2708e-16	1.61523e-21	1.19591e-26	5.57021e-32	1.72377e-37	4.45447e-43	
POSCRU_Anomala_varicolor	0	0	0	0	1	0	0	0	0	0	0	0	0	
N70	4.5442e-07	0.00224228	0.997593	0.000164701	3.07301e-09	1.44083e-14	2.58511e-20	1.95169e-26	6.41703e-33	9.12938e-40	4.6685e-47	2.72478e-37	2.39794e-38	
POSCRU_Anomala_dorsalis	0	0	1	0	0	0	0	0	0	0	0	0	0	
POSCRU_Anomala_polita	0	0	1	0	0	0	0	0	0	0	0	0	0	
POSCRU_Anomala_bengalensis	0	0	1	0	0	0	0	0	0	0	0	0	0	
N71	5.53045e-07	0.000205925	0.022756	0.151387	0.347494	0.332058	0.129198	0.0165908	0.000307536	1.45426e-06	9.34094e-10	2.21833e-13	6.34681e-17	
POSCCE_Cetonia_aurata	0	0	0	0	0	0	0	1	0	0	0	0	0	
N72	4.73856e-31	4.44659e-28	8.63493e-24	1.61663e-18	6.58472e-14	4.29367e-10	4.16218e-07	0.000184564	0.0293554	0.970431	2.83033e-05	1.79581e-10	6.06152e-16	
POSCCE_Oxythyrea_sp	0	0	0	0	0	0	0	0	0	1	0	0	0	
N73	2.05176e-45	5.54527e-43	9.86672e-41	3.61908e-27	3.90212e-21	8.7273e-16	4.96774e-11	7.20085e-07	0.00260289	0.997392	3.91404e-06	1.93669e-12	3.07474e-19	
POSCCE_Tropinota_sp	0	0	0	0	0	0	0	0	0	1	0	0	0	
