Bembidion,Calathus,Carabidae,Carabus,Cerambycidae,Chrysolina,Chrysomelidae,Cicindela,Timarcha,Tenebrionidae,Scarabaeidae,Pterostichus,Pimelia,Lampyridae,Ips,Harpalus,Elateridae,Dytiscidae,Diabrotica,Dendroctonus,Cytronus,Curculionidae,Coccinellidae
,,ADCAHA_Bradybaenus_sp,,,,POCHCH_Chrysolina_timarchoides,,,,POSCSC_Deltochilum_amazonicum,,,,,,,,,,,POCUMO_Ruteria_hypocrita,
,,ADCAHA_Calathus_abaxoides,,,,POCHCH_Chrysolina_varians,,,,POSCSC_Digitonthophagus_gazella,,,,,,,,,,,POCUSC_Cryphalus_abietis,
,,ADCAHA_Calathus_ambiguus,,,,POCHCH_Chrysolina_viridana,,,,POSCSC_Eucranium_arachnoides,,,,,,,,,,,POCUSC_Crypturgus_pusillus,
,,ADCAHA_Calathus_ascendens,,,,POCHCH_Chrysomela_interrupta,,,,POSCSC_Eurysternus_caribaeus,,,,,,,,,,,POCUSC_Dendroctonus_adjunctus,
,,ADCAHA_Calathus_asturiensis,,,,POCHCH_Chrysomela_lapponica,,,,POSCSC_Glyphoderus_sterquilinus,,,,,,,,,,,POCUSC_Dendroctonus_approximatus,
,,ADCAHA_Calathus_auctus,,,,POCHCH_Chrysomela_mainensis,,,,POSCSC_Gromphas_sp,,,,,,,,,,,POCUSC_Dendroctonus_brevicomis,
,,ADCAHA_Calathus_brevis,,,,POCHCH_Chrysomela_populi,,,,POSCSC_Gymnopleurus_sp,,,,,,,,,,,POCUSC_Dendroctonus_frontalis,
,,ADCAHA_Calathus_circumseptus,,,,POCHCH_Chrysomela_schaefferi,,,,POSCSC_Heliocopris_sp,,,,,,,,,,,POCUSC_Dendroctonus_jeffreyi,
,,ADCAHA_Calathus_erratus,,,,POCHCH_Chrysomela_tremulae,,,,POSCSC_Malagoniella_sp,,,,,,,,,,,POCUSC_Dendroctonus_murrayanae,
,,ADCAHA_Calathus_freyi,,,,POCHCH_Cyrtonus_arcasi,,,,POSCSC_Microcopris_sp,,,,,,,,,,,POCUSC_Dendroctonus_ponderosae,
,,ADCAHA_Calathus_fuscipes,,,,POCHCH_Cyrtonus_contractus,,,,POSCSC_Oniticellus_fulvus,,,,,,,,,,,POCUSC_Dendroctonus_pseudotsugae,
,,ADCAHA_Calathus_granatensis,,,,POCHCH_Cyrtonus_cupreovirens,,,,POSCSC_Onitis_sp,,,,,,,,,,,POCUSC_Dendroctonus_punctatus,
,,ADCAHA_Calathus_melanocephalus,,,,POCHCH_Cyrtonus_cylindricus,,,,POSCSC_Ontherus_sp,,,,,,,,,,,POCUSC_Dendroctonus_rufipennis,
,,ADCAHA_Calathus_micropterus,,,,POCHCH_Cyrtonus_dufouri,,,,POSCSC_Onthophagus_fracticornis,,,,,,,,,,,POCUSC_Dendroctonus_simplex,
,,ADCAHA_Calathus_mollis,,,,POCHCH_Cyrtonus_elegans,,,,POSCSC_Onthophagus_hecate,,,,,,,,,,,POCUSC_Dendroctonus_terebrans,
,,ADCAHA_Calathus_rectus,,,,POCHCH_Cyrtonus_fairmairei,,,,POSCSC_Onthophagus_marginicollis,,,,,,,,,,,POCUSC_Dendroctonus_valens,
,,ADCAHA_Calathus_rotundatus,,,,POCHCH_Cyrtonus_majoricensis,,,,POSCSC_Onthophagus_nuchicornis_M,,,,,,,,,,,POCUSC_Dryocoetes_affaber,
,,ADCAHA_Carterus_fulvipes,,,,POCHCH_Cyrtonus_pardoi,,,,POSCSC_Onthophagus_pennsylvannicus,,,,,,,,,,,POCUSC_Dryocoetes_autographus,
,,ADCAHA_Carterus_rotundicollis_M,,,,POCHCH_Cyrtonus_plumbeus,,,,POSCSC_Onthophagus_similis,,,,,,,,,,,POCUSC_Hylastes_sp,
,,ADCAHA_Chlaenius_sp,,,,POCHCH_Cyrtonus_puncticeps,,,,POSCSC_Onthophagus_taurus,,,,,,,,,,,POCUSC_Hylurgops_sp,
,,ADCAHA_Colliuris_pennsylvanica,,,,POCHCH_Cyrtonus_rotundatus,,,,POSCSC_Oruscatus_davus,,,,,,,,,,,POCUSC_Ips_acuminatus,
,,ADCAHA_Craspedophorus_sp,,,,POCHCH_Cyrtonus_ruficornis,,,,POSCSC_Oxysternon_sp,,,,,,,,,,,POCUSC_Ips_avulsus,
,,ADCAHA_Cymindis_sp,,,,POCHCH_Desmogramma_sp,,,,POSCSC_Paracopris_sp,,,,,,,,,,,POCUSC_Ips_bonanseai,
,,ADCAHA_Demetrias_atricapillus,,,,POCHCH_Doryphora_sp,,,,POSCSC_Paragymnopleurus_sp,,,,,,,,,,,POCUSC_Ips_borealis,
,,ADCAHA_Dicrochile_sp,,,,POCHCH_Entomoscelis_sp,,,,POSCSC_Phanaeus_chalcomelas,,,,,,,,,,,POCUSC_Ips_calligraphus,
,,ADCAHA_Diplocheila_sp,,,,POCHCH_Exema_canadensis,,,,POSCSC_Phanaeus_igneus,,,,,,,,,,,POCUSC_Ips_confusus,
,,ADCAHA_Dixus_capito,,,,POCHCH_Gastrophysa_cyanea,,,,POSCSC_Phanaeus_vindex,,,,,,,,,,,POCUSC_Ips_cribricollis,
,,ADCAHA_Dromius_sp,,,,POCHCH_Gastrophysa_poligoni,,,,POSCSC_Scarabaeus_sp,,,,,,,,,,,POCUSC_Ips_emarginatus,
,,ADCAHA_Drypta_sp,,,,POCHCH_Gastrophysa_viridula,,,,POSCSC_Sisyphus_sp,,,,,,,,,,,POCUSC_Ips_hoppingi,
,,ADCAHA_Egadroma_marginatum,,,,POCHCH_Gonioctena_linnaeana,,,,POSCSC_Sulcophanaeus_sp,,,,,,,,,,,POCUSC_Ips_hunteri,
,,ADCAHA_Galerita_sp,,,,POCHCH_Gonioctena_sibirica_M,,,,POSCSC_Tiniocellus_spinipes,,,,,,,,,,,POCUSC_Ips_integer,
,,ADCAHA_Graphipterus_sp,,,,POCHCH_Gonioctena_springlovae,,,,POSCSE_Serica_sp,,,,,,,,,,,POCUSC_Ips_knausi,
,,ADCAHA_Harpalus_aesculanus,,,,POCHCH_Gonioctena_variabilis,,,,,,,,,,,,,,,POCUSC_Ips_latidens,
,,ADCAHA_Harpalus_affinis,,,,POCHCH_Gonioctena_viminalis,,,,,,,,,,,,,,,POCUSC_Ips_lecontei,
,,ADCAHA_Harpalus_anxius,,,,POCHCH_Labidomera_clivicollis,,,,,,,,,,,,,,,POCUSC_Ips_montanus,
,,ADCAHA_Harpalus_attenuatus,,,,POCHCH_Leptinotarsa_haldemani,,,,,,,,,,,,,,,POCUSC_Ips_paraconfusus,
,,ADCAHA_Harpalus_contemptus,,,,POCHCH_Leptinotarsa_juncta,,,,,,,,,,,,,,,POCUSC_Ips_perroti,
,,ADCAHA_Harpalus_decipiens,,,,POCHCH_Leptinotarsa_texana,,,,,,,,,,,,,,,POCUSC_Ips_perturbatus,
,,ADCAHA_Harpalus_dimidiatus,,,,POCHCH_Linaeidea_aenea,,,,,,,,,,,,,,,POCUSC_Ips_pilifrons,
,,ADCAHA_Harpalus_distinguendus,,,,POCHCH_Oreina_alpestris,,,,,,,,,,,,,,,POCUSC_Ips_pini,
,,ADCAHA_Harpalus_ebeninus,,,,POCHCH_Oreina_cacaliae,,,,,,,,,,,,,,,POCUSC_Ips_plastographus,
,,ADCAHA_Harpalus_honestus,,,,POCHCH_Oreina_elongata,,,,,,,,,,,,,,,POCUSC_Ips_sexdentatus,
,,ADCAHA_Harpalus_pennsylvanicus,,,,POCHCH_Oreina_ganglbaueri,,,,,,,,,,,,,,,POCUSC_Ips_spinifer,
,,ADCAHA_Harpalus_rubripes,,,,POCHCH_Oreina_intricata,,,,,,,,,,,,,,,POCUSC_Ips_tridens,
,,ADCAHA_Harpalus_serripes,,,,POCHCH_Oreina_variabilis,,,,,,,,,,,,,,,POCUSC_Ips_typographus,
,,ADCAHA_Harpalus_wagneri,,,,POCHCH_Oreina_virgulata,,,,,,,,,,,,,,,POCUSC_Ips_woodi,
,,ADCAHA_Lebia_sp,,,,POCHCH_Paropsis_atomaria,,,,,,,,,,,,,,,POCUSC_Orthotomicus_caelatus,
,,ADCAHA_Licinus_sp,,,,POCHCH_Paropsis_porosa_M,,,,,,,,,,,,,,,POCUSC_Orthotomicus_erosus,
,,ADCAHA_Loxandrus_sp,,,,POCHCH_Paropsisterna_sp,,,,,,,,,,,,,,,POCUSC_Orthotomicus_laricis,
,,ADCAHA_Macrocheilus_sp,,,,POCHCH_Phaedon_sp,,,,,,,,,,,,,,,POCUSC_Orthotomicus_suturalis,
,,ADCAHA_Microlestes_sp,,,,POCHCH_Philhydronopa_sp,,,,,,,,,,,,,,,POCUSC_Phloeotribus_sp,
,,ADCAHA_Nesarpalus_sp,,,,POCHCH_Phratora_laticollis,,,,,,,,,,,,,,,POCUSC_Pityogenes_chalcographus,
,,ADCAHA_Notagonum_sp,,,,POCHCH_Phratora_tibialis,,,,,,,,,,,,,,,POCUSC_Pityogenes_hopkinsi_M,
,,ADCAHA_Notiobia_sp,,,,POCHCH_Plagiodera_versicolora,,,,,,,,,,,,,,,POCUSC_Polygraphus_grandiclava,
,,ADCAHA_Oodes_sp,,,,POCHCH_Platyphora_sp,,,,,,,,,,,,,,,POCUSC_Polygraphus_poligraphus_M,
,,ADCAHA_Ophonus_azureus,,,,POCHCH_Prasocuris_sp,,,,,,,,,,,,,,,POCUSC_Scolytus_sp,
,,ADCAHA_Ophonus_longicollis,,,,POCHCH_Timarcha_aurichalcea,,,,,,,,,,,,,,,POCUSC_Trypodendron_lineatum,
,,ADCAHA_Ophonus_stictus,,,,POCHCH_Timarcha_balearica,,,,,,,,,,,,,,,POCUSC_Xyleborus_sp,
,,ADCAHA_Orthomus_velocissimus,,,,POCHCH_Timarcha_calceata,,,,,,,,,,,,,,,POCUSC_Xylosandrus_compactus,
,,ADCAHA_Parophonus_hespericus,,,,POCHCH_Timarcha_cornuta,,,,,,,,,,,,,,,POCUSC_Xylosandrus_germanus,
,,ADCAHA_Percus_politus,,,,POCHCH_Timarcha_cyanescens,,,,,,,,,,,,,,,POCUTY_Tychius_sp,
,,ADCAHA_Platyderus_lusitanicus,,,,POCHCH_Timarcha_espanoli,,,,,,,,,,,,,,,,
,,ADCAHA_Platyderus_varians,,,,POCHCH_Timarcha_fallax,,,,,,,,,,,,,,,,
,,ADCAHA_Platymetopus_sp,,,,POCHCH_Timarcha_geniculata,,,,,,,,,,,,,,,,
,,ADCAHA_Poecilus_chalcites,,,,POCHCH_Timarcha_goettingensis,,,,,,,,,,,,,,,,
,,ADCAHA_Poecilus_cupreus,,,,POCHCH_Timarcha_gougeleti,,,,,,,,,,,,,,,,
,,ADCAHA_Poecilus_lucublandus,,,,POCHCH_Timarcha_granadensis,,,,,,,,,,,,,,,,
,,ADCAHA_Poecilus_versicolor,,,,POCHCH_Timarcha_hispanica,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_alacer,,,,POCHCH_Timarcha_insparsa,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_angustus,,,,POCHCH_Timarcha_intermedia,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_anthracinus,,,,POCHCH_Timarcha_interstitialis,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_aterrimus,,,,POCHCH_Timarcha_intricata,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_flavofemoratus,,,,POCHCH_Timarcha_lugens,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_globosus,,,,POCHCH_Timarcha_marginicollis,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_herculeanus,,,,POCHCH_Timarcha_maritima,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_interruptus,,,,POCHCH_Timarcha_metallica,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_melanarius,,,,POCHCH_Timarcha_montserratensis,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_nemoralis,,,,POCHCH_Timarcha_perezi,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_niger,,,,POCHCH_Timarcha_pimelioides,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_nigrita,,,,POCHCH_Timarcha_recticollis,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_oblongopunctatus,,,,POCHCH_Timarcha_rugosa,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_spinolae,,,,POCHCH_Timarcha_scabripennis,,,,,,,,,,,,,,,,
,,ADCAHA_Pterostichus_ziegleri,,,,POCHCH_Timarcha_sinuaticollis,,,,,,,,,,,,,,,,
,,ADCAHA_Sarothrocrepis_sp,,,,POCHCH_Timarcha_strangulata,,,,,,,,,,,,,,,,
,,ADCAHA_Sphallomorpha_sp,,,,POCHCH_Timarcha_tenebricosa,,,,,,,,,,,,,,,,
,,ADCAHA_Stenolophus_lecontei,,,,POCHCH_Timarcha_ventricosa,,,,,,,,,,,,,,,,
,,ADCAHA_Stenolophus_mixtus,,,,POCHCH_Zygogramma_sp,,,,,,,,,,,,,,,,
,,ADCAHA_Stenolophus_teutonus,,,,POCHCL_Coptocephala_sp,,,,,,,,,,,,,,,,
,,ADCAHA_Stomis_sp,,,,POCHCL_Lachnaia_sp,,,,,,,,,,,,,,,,
,,ADCAHA_Syntomus_sp,,,,POCHCL_Macrolenes_dentipes,,,,,,,,,,,,,,,,
,,ADCAHA_Zabrus_sp,,,,POCHCL_Smaragdina_sp,,,,,,,,,,,,,,,,
,,ADCALO_Loricera_pilicornis,,,,POCHCR_Crioceris_asparagi,,,,,,,,,,,,,,,,
,,ADCANE_Nebria_brevicollis,,,,POCHCR_Crioceris_paracenthesis,,,,,,,,,,,,,,,,
,,ADCANE_Notiophilus_sp,,,,POCHCR_Cryptocephalus_venustus,,,,,,,,,,,,,,,,
,,ADCAPA_Arthropterus_sp,,,,POCHCR_Lema_sp,,,,,,,,,,,,,,,,
,,ADCAPA_Mystropomus_subcostatus,,,,POCHCR_Lilioceris_sp,,,,,,,,,,,,,,,,
,,ADCAPA_Penetretus_sp,,,,POCHCR_Oulema_melanopus,,,,,,,,,,,,,,,,
,,ADCAPS_Amblytelus_curtus,,,,POCHCR_Pachybrachis_sp,,,,,,,,,,,,,,,,
,,ADCAPS_Mecyclothorax_sp,,,,POCHDO_Donacia_bicolor,,,,,,,,,,,,,,,,
,,ADCAPS_Olisthopus_sp,,,,POCHDO_Donacia_biimpressa,,,,,,,,,,,,,,,,
,,ADCASC_Carenum_interruptum,,,,POCHDO_Donacia_clavipes,,,,,,,,,,,,,,,,
,,ADCASC_Clivina_sp,,,,POCHDO_Donacia_hirticollis,,,,,,,,,,,,,,,,
,,ADCASC_Dyschirius_sp,,,,POCHDO_Donacia_subtilis,,,,,,,,,,,,,,,,
,,ADCASC_Scarites_buparius,,,,POCHDO_Donacia_vulgaris,,,,,,,,,,,,,,,,
,,ADCASC_Scarites_eurytus,,,,POCHEU_Basilepta_sp,,,,,,,,,,,,,,,,
,,ADCASC_Scarites_hespericus,,,,POCHEU_Bromius_obscurus,,,,,,,,,,,,,,,,
,,ADCASC_Scarites_laevigatus,,,,POCHEU_Chalcophana_sp,,,,,,,,,,,,,,,,
,,ADCASC_Scarites_occidentalis_M,,,,POCHEU_Colaspis_sp,,,,,,,,,,,,,,,,
,,ADCASC_Scarites_terricola,,,,POCHEU_Colasposoma_auripenne,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_aenulum,,,,POCHEU_Eumolpus_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_americanum,,,,POCHEU_Nodonota_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_antiquum,,,,POCHEU_Paria_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_arenobilis,,,,POCHGA_Acalymma_blandulum,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_articulatum,,,,POCHGA_Acalymma_fairmairei,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_balli,,,,POCHGA_Acalymma_trivittatum,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_bellorum,,,,POCHGA_Acalymma_vittatum,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_bifossulatum,,,,POCHGA_Aedmon_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_californicum,,,,POCHGA_Agelastica_coerulea,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_chalceum,,,,POCHGA_Alagoasa_bicolor,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_concolor,,,,POCHGA_Alagoasa_cf_arcifera,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_confusum,,,,POCHGA_Alagoasa_cruxnigra,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_coxendix,,,,POCHGA_Alagoasa_decemgutatta,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_decorum,,,,POCHGA_Alagoasa_extrema,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_honestum,,,,POCHGA_Alagoasa_libentina,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_inaequale,,,,POCHGA_Aphthona_lutescens,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_insulatum,,,,POCHGA_Apophylia_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_integrum,,,,POCHGA_Argopus_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_lampros,,,,POCHGA_Asiorestia_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_lapponicum,,,,POCHGA_Asphaera_abdominalis,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_levettei,,,,POCHGA_Asphaera_unicolor,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_levettei_carrianum,,,,POCHGA_Aulacophora_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_levigatum,,,,POCHGA_Blepharida_rhois,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_louisella,,,,POCHGA_Capraita_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_mexicanum,,,,POCHGA_Cerotoma_sp,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_obtusum,,,,POCHGA_Chaetocnema_chlorophana,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_planatum,,,,POCHGA_Chaetocnema_concinna,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_properans,,,,POCHGA_Diabrotica_adelpha,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_punctulatum,,,,POCHGA_Diabrotica_balteata,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_quadrimaculatum,,,,POCHGA_Diabrotica_cristata,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_rapidum,,,,POCHGA_Diabrotica_limitata,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_rothfelsi,,,,POCHGA_Diabrotica_longicornis,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_ruficorne,,,,POCHGA_Diabrotica_nummularis,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_rufotinctum,,,,POCHGA_Diabrotica_porracea,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_sejunctum,,,,POCHGA_Diabrotica_scutellata,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_tairuense,,,,POCHGA_Diabrotica_sexmaculata,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_tetracolum,,,,POCHGA_Diabrotica_speciosa,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_tibiale,,,,POCHGA_Diabrotica_tibialis,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_transversale,,,,POCHGA_Diabrotica_undecimpunctata,,,,,,,,,,,,,,,,
,,ADCATR_Bembidion_umbratum,,,,POCHGA_Dibolia_sp,,,,,,,,,,,,,,,,
,,ADCATR_Perileptus_areolatus,,,,POCHGA_Diorhabda_sp,,,,,,,,,,,,,,,,
,,ADCATR_Pogonus_chalceus,,,,POCHGA_Disonycha_sp,,,,,,,,,,,,,,,,
,,ADCATR_Trechus_obtusus,,,,POCHGA_Epitrix_fasciata,,,,,,,,,,,,,,,,
,,ADCATR_Trechus_quadristriatus,,,,POCHGA_Exora_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Galeruca_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Galerucella_birmanica,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Galerucella_calmariensis,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Galerucella_lineola,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Galerucella_nympheae,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Galerucella_placida,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Galerucella_pusilla,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Galerucella_tenella,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Glyptina_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Gynandrobrotica_lepida,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Gynandrobrotica_nigrofasciata,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Heikertingerella_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Hemipyxis_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Hermaeophaga_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Hypolampsis_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Isotes_multipunctata,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Lochmaea_capreae,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Longitarsus_exsoletus,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Luperus_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Lysathia_ludoviciana,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Macrohaltica_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Monolepta_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Monoxia_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Neocrepidodera_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Oedionychus_cinctus,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Oides_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Omophoita_octoguttata,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Omophoita_personata,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Ophraella_communa,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Ophraella_notulata_M,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Ophrida_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Paranaita_bilimbata,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Paratriarius_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Paridea_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Phyllotreta_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Podagrica_malvae,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Podontia_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Psylliodes_affinis,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Psylliodes_chrysocephalus,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Psylliodes_cupreus,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Psylliodes_dulcamarae,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Psylliodes_marcidus_M,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Psylliodes_napi,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Pyrrhalta_viburni,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Sermylassa_halensis,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Sphaeroderma_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Syphrea_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Systena_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Trirhabda_canadensis,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Trirhabda_virgata,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Walterianella_sp,,,,,,,,,,,,,,,,
,,,,,,POCHGA_Xanthogaleruca_luteola,,,,,,,,,,,,,,,,
,,,,,,POCHSA_Sagra_femorata,,,,,,,,,,,,,,,,
