ADDYAG_Ilybius_guttiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_subaeneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_ater	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
N20	9.85702e-27	2.99453e-25	1.12463e-23	3.98303e-22	1.28915e-20	3.776e-19	9.9609e-18	2.35815e-16	4.99398e-15	9.42988e-14	1.58223e-12	2.35059e-11	3.08024e-10	3.54606e-09	3.57118e-08	3.13199e-07	2.38062e-06	1.56032e-05	8.77116e-05	0.000420493	0.00170899	0.00585213	0.0167774	0.0400118	0.0788771	0.127756	0.169068	0.181927	0.158566	0.111637	0.0633887	0.0290196	0.0107214	0.00320361	0.000776805	0.000153537	2.48711e-05	3.32215e-06	3.68349e-07	3.4135e-08	2.66244e-09	1.76067e-10	9.96884e-12	4.96706e-13	2.52432e-14	2.95964e-15	
ADDYAG_Ilybius_aenescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_fuliginosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N21	1.5492e-09	7.08117e-09	4.20796e-08	2.46216e-07	1.32251e-06	6.41053e-06	2.78947e-05	0.000108679	0.000378348	0.00117478	0.00324773	0.00798053	0.0174028	0.0336277	0.0574996	0.0868927	0.115924	0.136405	0.141455	0.129207	0.103911	0.0735631	0.0458448	0.0251561	0.0121592	0.00518006	0.00194664	0.000645928	0.000189464	4.919e-05	1.13203e-05	2.31284e-06	4.20203e-07	6.80076e-08	9.82269e-09	1.26851e-09	1.4675e-10	1.52382e-11	1.42305e-12	1.19758e-13	9.10151e-15	6.2644e-16	3.93212e-17	2.32315e-18	1.53872e-19	2.55832e-20	
ADDYAG_Ilybius_vittiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Ilybius_wasastjernae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_ramblae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N22	3.61471e-09	1.66655e-08	9.47314e-08	5.1967e-07	2.61028e-06	1.18398e-05	4.8239e-05	0.000176055	0.000574549	0.00167444	0.00435327	0.0100872	0.0208155	0.0382264	0.062436	0.0906522	0.116952	0.134025	0.136396	0.123253	0.0988899	0.070451	0.0445723	0.0250489	0.0125085	0.00555258	0.00219224	0.000770283	0.000241039	6.72272e-05	1.67267e-05	3.71627e-06	7.38082e-07	1.31193e-07	2.08964e-08	2.98663e-09	3.83603e-10	4.4347e-11	4.62263e-12	4.35361e-13	3.71533e-14	2.88953e-15	2.08209e-16	1.47164e-17	1.24497e-18	2.41054e-19	
N23	3.71343e-13	2.40654e-12	2.00492e-11	1.62908e-10	1.22484e-09	8.40723e-09	5.24157e-08	2.96018e-07	1.51134e-06	6.96392e-06	2.89135e-05	0.000108004	0.000362433	0.00109106	0.00294245	0.00709973	0.0153079	0.0294605	0.0505542	0.0772791	0.105147	0.127249	0.136894	0.130856	0.111108	0.0837842	0.056108	0.0333712	0.0176317	0.00827838	0.0034556	0.00128317	0.000424161	0.000124919	3.281e-05	7.69435e-06	1.6135e-06	3.03155e-07	5.11849e-08	7.8038e-09	1.08359e-09	1.39173e-10	1.70048e-11	2.08398e-12	2.9583e-13	8.69262e-14	
N24	5.58359e-33	9.96795e-31	1.9374e-28	3.37576e-26	5.11388e-24	6.64728e-22	7.34744e-20	6.84837e-18	5.33538e-16	3.44092e-14	1.81744e-12	7.7682e-11	2.65101e-09	7.1145e-08	1.4759e-06	2.32103e-05	0.000270649	0.00228228	0.0135337	0.0547338	0.146209	0.250101	0.266961	0.174995	0.0702779	0.0175179	0.00278133	0.000290642	2.06859e-05	1.03592e-06	3.7593e-08	1.01465e-09	2.08375e-11	3.32148e-13	4.18142e-15	4.22126e-17	3.46355e-19	2.3374e-21	1.31127e-23	6.17414e-26	2.46215e-28	8.397e-31	2.48518e-33	6.60695e-36	1.74158e-38	6.74288e-41	
N25	4.48231e-36	1.3174e-33	4.34026e-31	1.23477e-28	2.98871e-26	6.10231e-24	1.04246e-21	1.47718e-19	1.72009e-17	1.62907e-15	1.24066e-13	7.50232e-12	3.5516e-10	1.29557e-08	3.57741e-07	7.32881e-06	0.000108903	0.00114436	0.00826713	0.0398141	0.123737	0.240278	0.283195	0.198309	0.0818025	0.0200471	0.00299032	0.000280676	1.71829e-05	7.10315e-07	2.04667e-08	4.22844e-10	6.42234e-12	7.3303e-14	6.40991e-16	4.36803e-18	2.35495e-20	1.01808e-22	3.572e-25	1.02819e-27	2.45204e-30	4.88866e-33	8.21796e-36	1.17529e-38	1.45603e-41	2.41226e-44	
ADDYAG_Agabus_bipustulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_conspersus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADDYAG_Agabus_biguttatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N26	9.03824e-67	4.31725e-64	2.12967e-61	9.90792e-59	4.28406e-56	1.70775e-53	6.24575e-51	2.08871e-48	6.36955e-46	1.76671e-43	4.44572e-41	1.01227e-38	2.07979e-36	3.84444e-34	6.37332e-32	9.44369e-30	1.24614e-27	1.45853e-25	1.50763e-23	1.36975e-21	1.08811e-19	7.51386e-18	4.48114e-16	2.29128e-14	9.96173e-13	3.64799e-11	1.11299e-09	2.79328e-08	5.6805e-07	9.19333e-06	0.000115833	0.00110571	0.00772606	0.0378109	0.122461	0.245059	0.285214	0.195985	0.0810738	0.020196	0.00297312	0.000255091	1.36031e-05	4.91885e-07	1.4148e-08	6.74168e-10	
